league,champion,games_banned,total_games,ban_rate
LCK,Varus,148,158,0.9367088607594937
LCK,Orianna,124,158,0.7848101265822784
LCK,Rumble,85,158,0.5379746835443038
LCK,Karma,82,158,0.5189873417721519
LCK,Bard,72,158,0.45569620253164556
LCK,Nocturne,64,158,0.4050632911392405
LCK,Cassiopeia,55,158,0.34810126582278483
LCK,Jarvan IV,50,158,0.31645569620253167
LCK,Jayce,47,158,0.2974683544303797
LCK,Caitlyn,45,158,0.2848101265822785
LCK,Ashe,42,158,0.26582278481012656
LCK,Lucian,40,158,0.25316455696202533
LCK,Nautilus,40,158,0.25316455696202533
LCK,Ezreal,39,158,0.2468354430379747
LCK,Lee Sin,35,158,0.22151898734177214
LCK,Azir,33,158,0.2088607594936709
LCK,Vayne,33,158,0.2088607594936709
LCK,Ryze,32,158,0.20253164556962025
LCK,Akali,31,158,0.1962025316455696
LCK,Vi,31,158,0.1962025316455696
LCK,Xin Zhao,30,158,0.189873417721519
LCK,Annie,28,158,0.17721518987341772
LCK,Twisted Fate,23,158,0.14556962025316456
LCK,Anivia,22,158,0.13924050632911392
LCK,Pantheon,22,158,0.13924050632911392
LCK,Gnar,21,158,0.13291139240506328
LCK,Lulu,18,158,0.11392405063291139
LCK,Trundle,18,158,0.11392405063291139
LCK,Ambessa,13,158,0.08227848101265822
LCK,Aurora,13,158,0.08227848101265822
LCK,Sion,12,158,0.0759493670886076
LCK,Jhin,11,158,0.06962025316455696
LCK,Wukong,11,158,0.06962025316455696
LCK,Yorick,11,158,0.06962025316455696
LCK,K'Sante,10,158,0.06329113924050633
LCK,Naafiri,10,158,0.06329113924050633
LCK,Yunara,10,158,0.06329113924050633
LCK,Ziggs,10,158,0.06329113924050633
LCK,Renekton,9,158,0.056962025316455694
LCK,Ahri,8,158,0.05063291139240506
LCK,LeBlanc,8,158,0.05063291139240506
LCK,Neeko,8,158,0.05063291139240506
LCK,Sivir,8,158,0.05063291139240506
LCK,Mel,7,158,0.04430379746835443
LCK,Miss Fortune,7,158,0.04430379746835443
LCK,Nami,7,158,0.04430379746835443
LCK,Pyke,7,158,0.04430379746835443
LCK,Viktor,7,158,0.04430379746835443
LCK,Corki,6,158,0.0379746835443038
LCK,Poppy,6,158,0.0379746835443038
LCK,Skarner,6,158,0.0379746835443038
LCK,Gwen,5,158,0.03164556962025317
LCK,Yuumi,5,158,0.03164556962025317
LCK,Taliyah,4,158,0.02531645569620253
LCK,Yone,4,158,0.02531645569620253
LCK,Zaahen,4,158,0.02531645569620253
LCK,Galio,3,158,0.0189873417721519
LCK,Jax,3,158,0.0189873417721519
LCK,Kai'Sa,3,158,0.0189873417721519
LCK,Seraphine,3,158,0.0189873417721519
LCK,Xayah,3,158,0.0189873417721519
LCK,Elise,2,158,0.012658227848101266
LCK,Kalista,2,158,0.012658227848101266
LCK,Leona,2,158,0.012658227848101266
LCK,Rakan,2,158,0.012658227848101266
LCK,Senna,2,158,0.012658227848101266
LCK,Sylas,2,158,0.012658227848101266
LCK,Thresh,2,158,0.012658227848101266
LCK,Zoe,2,158,0.012658227848101266
LCK,Alistar,1,158,0.006329113924050633
LCK,Aphelios,1,158,0.006329113924050633
LCK,Blitzcrank,1,158,0.006329113924050633
LCK,Braum,1,158,0.006329113924050633
LCK,Hwei,1,158,0.006329113924050633
LCK,Illaoi,1,158,0.006329113924050633
LCK,Lissandra,1,158,0.006329113924050633
LCK,Milio,1,158,0.006329113924050633
LCK,Olaf,1,158,0.006329113924050633
LCK,Rell,1,158,0.006329113924050633
LCK,Shen,1,158,0.006329113924050633
LCK,Zeri,1,158,0.006329113924050633
LCS,Varus,50,69,0.7246376811594203
LCS,Orianna,45,69,0.6521739130434783
LCS,Karma,41,69,0.5942028985507246
LCS,Nocturne,35,69,0.5072463768115942
LCS,Bard,28,69,0.4057971014492754
LCS,Anivia,25,69,0.36231884057971014
LCS,Jarvan IV,24,69,0.34782608695652173
LCS,Cassiopeia,20,69,0.2898550724637681
LCS,Akali,19,69,0.2753623188405797
LCS,Seraphine,19,69,0.2753623188405797
LCS,Ambessa,18,69,0.2608695652173913
LCS,Lee Sin,17,69,0.2463768115942029
LCS,Nautilus,17,69,0.2463768115942029
LCS,Pantheon,17,69,0.2463768115942029
LCS,Ryze,17,69,0.2463768115942029
LCS,Ziggs,15,69,0.21739130434782608
LCS,Jayce,13,69,0.18840579710144928
LCS,Xin Zhao,12,69,0.17391304347826086
LCS,Annie,11,69,0.15942028985507245
LCS,Neeko,11,69,0.15942028985507245
LCS,Caitlyn,10,69,0.14492753623188406
LCS,Naafiri,10,69,0.14492753623188406
LCS,Rumble,10,69,0.14492753623188406
LCS,Gnar,9,69,0.13043478260869565
LCS,Lucian,9,69,0.13043478260869565
LCS,Vi,9,69,0.13043478260869565
LCS,Yorick,9,69,0.13043478260869565
LCS,Wukong,8,69,0.11594202898550725
LCS,Ornn,7,69,0.10144927536231885
LCS,Shen,7,69,0.10144927536231885
LCS,Skarner,7,69,0.10144927536231885
LCS,Sylas,7,69,0.10144927536231885
LCS,Ezreal,6,69,0.08695652173913043
LCS,Lulu,6,69,0.08695652173913043
LCS,Nasus,6,69,0.08695652173913043
LCS,Poppy,6,69,0.08695652173913043
LCS,Renekton,6,69,0.08695652173913043
LCS,Taliyah,6,69,0.08695652173913043
LCS,Twisted Fate,6,69,0.08695652173913043
LCS,Yone,6,69,0.08695652173913043
LCS,Aurora,5,69,0.07246376811594203
LCS,Gwen,5,69,0.07246376811594203
LCS,Vayne,5,69,0.07246376811594203
LCS,Azir,4,69,0.057971014492753624
LCS,Jhin,4,69,0.057971014492753624
LCS,K'Sante,4,69,0.057971014492753624
LCS,LeBlanc,4,69,0.057971014492753624
LCS,Olaf,4,69,0.057971014492753624
LCS,Sion,4,69,0.057971014492753624
LCS,Viktor,4,69,0.057971014492753624
LCS,Galio,3,69,0.043478260869565216
LCS,Miss Fortune,3,69,0.043478260869565216
LCS,Rakan,3,69,0.043478260869565216
LCS,Sivir,3,69,0.043478260869565216
LCS,Trundle,3,69,0.043478260869565216
LCS,Ahri,2,69,0.028985507246376812
LCS,Alistar,2,69,0.028985507246376812
LCS,Blitzcrank,2,69,0.028985507246376812
LCS,Dr. Mundo,2,69,0.028985507246376812
LCS,Jax,2,69,0.028985507246376812
LCS,Renata Glasc,2,69,0.028985507246376812
LCS,Senna,2,69,0.028985507246376812
LCS,Shyvana,2,69,0.028985507246376812
LCS,Syndra,2,69,0.028985507246376812
LCS,Xayah,2,69,0.028985507246376812
LCS,Elise,1,69,0.014492753623188406
LCS,Garen,1,69,0.014492753623188406
LCS,Hwei,1,69,0.014492753623188406
LCS,Irelia,1,69,0.014492753623188406
LCS,Kai'Sa,1,69,0.014492753623188406
LCS,Lux,1,69,0.014492753623188406
LCS,Mel,1,69,0.014492753623188406
LCS,Morgana,1,69,0.014492753623188406
LEC,Orianna,70,80,0.875
LEC,Nautilus,55,80,0.6875
LEC,Varus,53,80,0.6625
LEC,Jarvan IV,38,80,0.475
LEC,Vayne,32,80,0.4
LEC,Pantheon,29,80,0.3625
LEC,Nocturne,25,80,0.3125
LEC,Sion,25,80,0.3125
LEC,Rumble,24,80,0.3
LEC,Akali,22,80,0.275
LEC,Ashe,21,80,0.2625
LEC,Bard,21,80,0.2625
LEC,Vi,20,80,0.25
LEC,Anivia,19,80,0.2375
LEC,Ryze,19,80,0.2375
LEC,Xin Zhao,19,80,0.2375
LEC,Jayce,18,80,0.225
LEC,Azir,15,80,0.1875
LEC,Gnar,15,80,0.1875
LEC,Karma,15,80,0.1875
LEC,Caitlyn,14,80,0.175
LEC,LeBlanc,12,80,0.15
LEC,Milio,10,80,0.125
LEC,Annie,9,80,0.1125
LEC,Ezreal,9,80,0.1125
LEC,Seraphine,9,80,0.1125
LEC,Wukong,9,80,0.1125
LEC,Lucian,8,80,0.1
LEC,Lulu,8,80,0.1
LEC,Olaf,8,80,0.1
LEC,Renekton,7,80,0.0875
LEC,Poppy,6,80,0.075
LEC,Viktor,6,80,0.075
LEC,Yorick,6,80,0.075
LEC,Gwen,5,80,0.0625
LEC,Naafiri,5,80,0.0625
LEC,Nami,5,80,0.0625
LEC,Ornn,5,80,0.0625
LEC,Skarner,5,80,0.0625
LEC,Ahri,4,80,0.05
LEC,Aurora,4,80,0.05
LEC,Jax,4,80,0.05
LEC,Sivir,4,80,0.05
LEC,Yasuo,4,80,0.05
LEC,Yunara,4,80,0.05
LEC,Aatrox,3,80,0.0375
LEC,Braum,3,80,0.0375
LEC,Cassiopeia,3,80,0.0375
LEC,Galio,3,80,0.0375
LEC,Jhin,3,80,0.0375
LEC,Kai'Sa,3,80,0.0375
LEC,Miss Fortune,3,80,0.0375
LEC,Smolder,3,80,0.0375
LEC,Taliyah,3,80,0.0375
