league,champion,games_picked,total_games,pick_rate
LCK,Xin Zhao,53,158,0.33544303797468356
LCK,Jarvan IV,47,158,0.2974683544303797
LCK,Ryze,45,158,0.2848101265822785
LCK,Ezreal,41,158,0.25949367088607594
LCK,Pantheon,40,158,0.25316455696202533
LCK,Sion,39,158,0.2468354430379747
LCK,Gnar,38,158,0.24050632911392406
LCK,Lucian,37,158,0.23417721518987342
LCK,Annie,36,158,0.22784810126582278
LCK,Jayce,36,158,0.22784810126582278
LCK,Jhin,36,158,0.22784810126582278
LCK,Karma,36,158,0.22784810126582278
LCK,Ashe,35,158,0.22151898734177214
LCK,Milio,35,158,0.22151898734177214
LCK,Seraphine,35,158,0.22151898734177214
LCK,Rumble,34,158,0.21518987341772153
LCK,Caitlyn,33,158,0.2088607594936709
LCK,Lulu,33,158,0.2088607594936709
LCK,Renekton,33,158,0.2088607594936709
LCK,Bard,32,158,0.20253164556962025
LCK,Lee Sin,32,158,0.20253164556962025
LCK,Nautilus,32,158,0.20253164556962025
LCK,Vi,32,158,0.20253164556962025
LCK,Yunara,31,158,0.1962025316455696
LCK,Aurora,30,158,0.189873417721519
LCK,Neeko,27,158,0.17088607594936708
LCK,K'Sante,26,158,0.16455696202531644
LCK,Anivia,25,158,0.15822784810126583
LCK,Nocturne,24,158,0.1518987341772152
LCK,Ambessa,23,158,0.14556962025316456
LCK,Ahri,22,158,0.13924050632911392
LCK,Naafiri,22,158,0.13924050632911392
LCK,Miss Fortune,21,158,0.13291139240506328
LCK,Viktor,21,158,0.13291139240506328
LCK,Wukong,21,158,0.13291139240506328
LCK,Cassiopeia,20,158,0.12658227848101267
LCK,Taliyah,19,158,0.12025316455696203
LCK,Yorick,19,158,0.12025316455696203
LCK,Sivir,18,158,0.11392405063291139
LCK,Twisted Fate,17,158,0.10759493670886076
LCK,Azir,16,158,0.10126582278481013
LCK,Mel,16,158,0.10126582278481013
LCK,Orianna,16,158,0.10126582278481013
LCK,Trundle,16,158,0.10126582278481013
LCK,Akali,15,158,0.0949367088607595
LCK,Corki,15,158,0.0949367088607595
LCK,Nami,15,158,0.0949367088607595
LCK,Skarner,15,158,0.0949367088607595
LCK,Ziggs,12,158,0.0759493670886076
LCK,Rakan,11,158,0.06962025316455696
LCK,Galio,10,158,0.06329113924050633
LCK,Poppy,10,158,0.06329113924050633
LCK,Vayne,10,158,0.06329113924050633
LCK,Xayah,10,158,0.06329113924050633
LCK,Zaahen,10,158,0.06329113924050633
LCK,Alistar,8,158,0.05063291139240506
LCK,Lux,8,158,0.05063291139240506
LCK,Shen,7,158,0.04430379746835443
LCK,Sylas,7,158,0.04430379746835443
LCK,Yone,7,158,0.04430379746835443
LCK,Camille,6,158,0.0379746835443038
LCK,Jax,5,158,0.03164556962025317
LCK,Kog'Maw,5,158,0.03164556962025317
LCK,Maokai,5,158,0.03164556962025317
LCK,Olaf,5,158,0.03164556962025317
LCK,Pyke,5,158,0.03164556962025317
LCK,Senna,5,158,0.03164556962025317
LCK,Varus,5,158,0.03164556962025317
LCK,Lissandra,4,158,0.02531645569620253
LCK,Rell,4,158,0.02531645569620253
LCK,Yuumi,4,158,0.02531645569620253
LCK,Aphelios,3,158,0.0189873417721519
LCK,Elise,3,158,0.0189873417721519
LCK,Gwen,3,158,0.0189873417721519
LCK,Hwei,3,158,0.0189873417721519
LCK,Kalista,3,158,0.0189873417721519
LCK,LeBlanc,3,158,0.0189873417721519
LCK,Renata Glasc,3,158,0.0189873417721519
LCK,Blitzcrank,2,158,0.012658227848101266
LCK,Braum,2,158,0.012658227848101266
LCK,Gragas,2,158,0.012658227848101266
LCK,Illaoi,2,158,0.012658227848101266
LCK,Leona,2,158,0.012658227848101266
LCK,Nidalee,2,158,0.012658227848101266
LCK,Ornn,2,158,0.012658227848101266
LCK,Rek'Sai,2,158,0.012658227848101266
LCK,Sejuani,2,158,0.012658227848101266
LCK,Tahm Kench,2,158,0.012658227848101266
LCK,Thresh,2,158,0.012658227848101266
LCK,Tristana,2,158,0.012658227848101266
LCK,Zeri,2,158,0.012658227848101266
LCK,Aatrox,1,158,0.006329113924050633
LCK,Aurelion Sol,1,158,0.006329113924050633
